Nombre|Conductor|Anexo|Placa|Lat|Lon|Ubicacion|Ciudad|Poblacion Cercana|Punto de Interes|Lugar|Evento|kph|Hora Reporte|Rumbo
KSP721|||KSP721|11.181871|-72.612893|Km0 Cuestecitas - Albania|Maicao - La Guajira|668 m. E.: Cuestecitas, Maicao, La Guajira|73 m. W.: Súper Giros|En: ADMON_Vehiculos_Equipos Stand By|Hibernacion|0|2026-06-04 08:35:57|184
KSP722|Rafael Cabrales Alvarino||KSP722|11.126573|-72.630531||Maicao - La Guajira|5.7 Km. SW.: Albania, Maicao, La Guajira|5.4 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|Apagado|0|2026-06-08 15:01:26|60
KSQ846|TALLER ALBANIA ERIS OSPINO||KSQ846|11.181874|-72.612965|Km0 Cuestecitas - Albania|Maicao - La Guajira|660 m. E.: Cuestecitas, Maicao, La Guajira|81 m. W.: Súper Giros|En: ADMON_Vehiculos_Equipos Stand By|Fin Ralenti|0|2026-06-04 08:23:42|0
KSR312|||KSR312|11.126679|-72.630561||Maicao - La Guajira|5.7 Km. SW.: Albania, Maicao, La Guajira|5.4 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|TDR Apagado|0|2026-06-08 14:57:48|226
KSR314|||KSR314|11.182211|-72.613656|Km0 Cuestecitas - Albania|Maicao - La Guajira|596 m. E.: Cuestecitas, Maicao, La Guajira|117 m. NE.: Hotel Ali & José|En: ADMON_Vehiculos_Equipos Stand By|Reconexion Equipo|0|2026-05-29 08:26:22|0
KSR316|Omar Enrique Olae Roman||KSR316|11.131448|-72.628393||Maicao - La Guajira|5.1 Km. SW.: Albania, Maicao, La Guajira|4.9 Km. SW.: Restaurante Hissy N.1|En: ADMON_Vehiculos_Equipos Stand By|TDR Encendido|34|2026-06-08 14:58:46|288
KSV917|||KSV917|7.389445|-73.914036|Km Cantagallo - San Pablo|Cantagallo - Bolívar|1.0 Km. NE.: Cantagallo, Bolívar|27.0 Km. NW.: Ferrocarriles Nacionales De Colombia|En: ECOPETROL VRC-RIO CANTAGALLO|TDR Apagado|0|2026-06-08 14:49:04|12
KSZ112||||7.006531|-73.913683|Cl55 56 38|Yondó - Antioquia|488 m. NW.: Casabe, Yondó, Antioquia|119 m. W.: Estación de Servicio Terpel|En: ECOPETROL VRC-RIO CASABE|TDR Apagado|0|2026-06-08 14:59:03|37
KSZ330|||KSZ330|7.006562|-73.913823|Cl55 56 38|Yondó - Antioquia|500 m. NW.: Casabe, Yondó, Antioquia|135 m. W.: Estación de Servicio Terpel|En: ECOPETROL VRC-RIO CASABE|TDR Apagado|0|2026-06-08 14:47:45|80
KSZ989|||KSZ989|6.832047|-73.713983|Altamira|San Vicente de Chucurí - Santander|23.1 Km. SE.: Los Laureles, Barrancabermeja, Santander|2.6 Km. SE.: Hacienda Chaguaramo|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:50:10|265
KTM243|||KTM243|7.086505|-73.839349|A 334 m. de Escuela Educativa Barrio San Silvestre|Barrancabermeja - Santander|3.3 Km. NE.: Barrancabermeja, Santander|334 m. N.: Escuela Educativa Barrio San Silvestre|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:58:20|140
KTQ224|||KTQ224|7.086442|-73.945615|A 708 m. de Hacienda El Tigre|Yondó - Antioquia|647 m. SE.: San Miguel del Tigre, Yondó, Antioquia|708 m. SE.: Hacienda El Tigre|En: ECOPETROL VRC-RIO CASABE|TDR Apagado|0|2026-06-08 15:00:13|45
KTQ543|Elkin Augusto Parada Caicedo|||7.472683|-73.405477||Rionegro - Santander|7.5 Km. NE.: Provincia, Sábana de Torres, Santander|4.9 Km. E.: Hacienda Venecia|En: ECOPETROL VRC_GMA_MARES CENTRO|GPS Adquirido|0|2026-06-06 13:13:02|0
KTR515|||KTR515|6.986236|-73.779813|Km 10 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|4.6 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.6 Km. NE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:50:45|310
KTR516|||KTR516|6.953701|-73.770093|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|8.2 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.3 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:58:53|285
KTR522|||KTR522|6.953831|-73.766892||Barrancabermeja - Santander|8.4 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.6 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|Log Out|0|2026-06-08 14:58:32|228
KYX645|||KYX645|7.086618|-73.137822|A 58 m. de Taller Praco Didacol Giron|Bucaramanga - Santander|3.5 Km. NE.: Girón, Santander|58 m. E.: Taller Praco Didacol Giron|En: CENIT ESTACIONES-SEBASTOPOL|TDR Apagado|0|2026-06-08 14:54:50|113
KYX710|||KYX710|7.077709|-73.848377|Kr31 75 51|Barrancabermeja - Santander|2.0 Km. N.: Barrancabermeja, Santander|272 m. N.: Droguería La Floresta|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:57:20|242
KYX722|||KYX722|7.086673|-73.13775|A 67 m. de Estación de Servicio Terpel Autopista Girón|Bucaramanga - Santander|3.5 Km. NE.: Girón, Santander|67 m. SE.: Estación de Servicio Terpel Autopista Girón|En: CENIT ESTACIONES-SEBASTOPOL|TDR Apagado|0|2026-06-08 14:51:13|68
KYZ081|||KYZ081|6.980222|-73.778755||Barrancabermeja - Santander|5.2 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.3 Km. NE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:50:22|325
KYZ083|||KYZ083|4.66891|-74.085419|Kr62 64 68|Bogotá D.C. - Cundinamarca|1.2 Km. W.: Barrios Unidos, Bogotá D.C., Cundinamarca|27 m. SE.: Salón de Belleza Aleiro y Beto|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:51:07|12
KYZ085|Pedro Javier Chala Flores||KYZ085|3.787183|-71.45435|Vía Estación de Bombeo ODL|Puerto Gaitán - Meta|58.8 Km. NW.: Puerto Trujillo, Puerto Gaitán, Meta|197 m. SE.: Estación de Bombeo Odl|En: ECOPETROL TERMORUBIALES-RUBIALES|TDR Encendido|0|2026-06-08 14:22:09|38
KYZ087|||KYZ087|7.057976|-73.860687|Kr17 47 49|Barrancabermeja - Santander|828 m. W.: Barrancabermeja, Santander|28 m. N.: Consejo Territorial De Planeación|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:57:35|0
KYZ089|Jonathan Alexander Calderon Nieto||KYZ089|6.955709|-73.772566|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|7.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.9 Km. E.: Hacienda La India|En: VRC Base Gran Estación Centro|Apagado|0|2026-06-08 14:58:52|289
KYZ091|||KYZ091|4.823965|-74.357624|Cl15 10 111|Facatativá - Cundinamarca|1.6 Km. N.: Facatativá, Cundinamarca|112 m. NW.: Colegio Departamental Manuela Ayala De Gaitán|En: CENIT ESTACIONES-PUERTO SALGAR|TDR Apagado|0|2026-06-08 14:51:50|101
KYZ093|||KYZ093|7.057933|-73.080305|Cl10 36a 62|Floridablanca - Santander|3.0 Km. SE.: Floridablanca, Santander|125 m. S.: Monasterio Carmelitas Descalzas|106.0 Km. E.: CENIT ESTACIONES-SEBASTOPOL|TDR Apagado|11|2026-06-08 14:47:51|121
KYZ095|||KYZ095|4.961932|-73.935615|Anillo Víal Verganzo|Tocancipá - Cundinamarca|2.8 Km. W.: Tocancipá, Cundinamarca|356 m. S.: Urbanización Milenium III|En: CENIT ESTACIONES-PUERTO SALGAR|TDR Apagado|0|2026-06-08 15:00:12|97
KYZ097|||KYZ097|6.977757|-73.790572|A 2065 m. de Hacienda La India|Barrancabermeja - Santander|4.9 Km. S.: Los Laureles, Barrancabermeja, Santander|2.1 Km. NE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:57:14|0
KYZ099|||KYZ099|6.951955|-73.770722|Km 11 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|8.4 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.3 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:38:19|0
KYZ101|Huber Hernan Velandria Garcia||KYZ101|3.787625|-71.455539|Capacitación Caño Arrabo|Puerto Gaitán - Meta|58.9 Km. NW.: Puerto Trujillo, Puerto Gaitán, Meta|70 m. SE.: Estación de Bombeo Odl|En: ECOPETROL TERMORUBIALES-RUBIALES|TDR Encendido|22|2026-06-08 14:24:20|317
KYZ103|||KYZ103|7.392405|-73.503851|Cl14 22a 42|Sábana de Torres - Santander|496 m. SW.: Sabana de Torres, Sábana de Torres, Santander|534 m. SW.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:55:17|157
KYZ105|||KYZ105|6.931535|-73.758841||Barrancabermeja - Santander|11.0 Km. SE.: Los Laureles, Barrancabermeja, Santander|5.4 Km. N.: Montallantas Opincito|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:51:34|38
KYZ107|||KYZ107|6.938446|-73.768911|Km 10 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|9.8 Km. SE.: Los Laureles, Barrancabermeja, Santander|5.2 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 15:00:32|278
KYZ109|||KYZ109|7.015366|-73.795352|Km 6 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|1.1 Km. E.: Los Laureles, Barrancabermeja, Santander|871 m. E.: Estación de Servicio Biomax|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:55:07|313
KYZ111|Alexander  Hernandez Alvarez||KYZ111|7.075071|-73.869995|A 615 m. de Estadio de Fútbol Daniel Villa Zapata|Barrancabermeja - Santander|2.4 Km. NW.: Barrancabermeja, Santander|615 m. NW.: Estadio de Fútbol Daniel Villa Zapata|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Encendido|8|2026-06-08 14:59:48|179
KYZ113|||KYZ113|7.394178|-73.498336|Kr18 13 75|Sábana de Torres - Santander|201 m. E.: Sabana de Torres, Sábana de Torres, Santander|300 m. SE.: Cementerio Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:52:33|253
KYZ115|||KYZ115|7.399524|-73.893209||Puerto Wilches - Santander|3.5 Km. NE.: Cantagallo, Bolívar|27.2 Km. N.: Ferrocarriles Nacionales De Colombia|En: ECOPETROL VRC-RIO CANTAGALLO|TDR Apagado|0|2026-06-08 14:58:05|103
KYZ117|||KYZ117|7.000878|-73.912607|Cl45 56 37|Yondó - Antioquia|329 m. SW.: Casabe, Yondó, Antioquia|269 m. SW.: Acceso Zona Industrial Ecopetrol Casabe|En: ECOPETROL VRC-RIO CASABE|Log Out|0|2026-06-08 15:01:12|261
KZP150|||KZP150|7.062853|-73.844092|Kr35 39 2|Barrancabermeja - Santander|1.1 Km. E.: Barrancabermeja, Santander|54 m. SW.: Rokola Bar|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:48:38|149
LFX481|||LFX481|7.99828|-73.511312|Cl20 7 2|San Martín - Cesar|668 m. S.: San Martín, Cesar|22 m. SE.: Estación de Servicio Terpel Km 0 San Martín San Alberto|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:55:27|78
LFZ655|||LFZ655|8.637481|-72.711627|A 2024 m. de Aeropuerto Tibu|Tibú - Norte de Santander|2.9 Km. E.: Tibú, Norte de Santander|2.0 Km. E.: Aeropuerto Tibu|En: ECOPETROL VRC_GCT_CATATUMBO (TIBÚ)|TDR Apagado|0|2026-06-08 14:59:01|239
LFZ656|||LFZ656|7.038987|-73.838016|Cl33 54 27|Barrancabermeja - Santander|3.0 Km. SE.: Barrancabermeja, Santander|595 m. S.: Residencias El Conductor|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:57:37|257
LGW438|Juan Antonio Cuero Cruz||LGW438|7.96177|-73.491897|PR 24 Km4 San Martin - San Alberto|San Martín - Cesar|5.2 Km. SE.: San Martín, Cesar|31 m. E.: Hotel El Valle del Sol|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Encendido|68|2026-06-08 13:59:39|155
LHL313|||LHL313|7.076674|-73.845225|Cl75 34a 55|Barrancabermeja - Santander|2.0 Km. NE.: Barrancabermeja, Santander|176 m. NE.: Escuela Educativa San Judas Tadeo|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 15:00:23|136
LHR106|||LHR106|4.353748|-73.277258||Paratebueno - Cundinamarca|7.2 Km. E.: Santa Cecilia, Paratebueno, Cundinamarca|3.8 Km. SE.: Estación de Servicio Brio Km 7 Santa Cecilia Paratebueno|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:46:36|122
LHR143|||LHR143|7.398098|-73.489394|Kr7 11b 52|Sábana de Torres - Santander|1.2 Km. E.: Sabana de Torres, Sábana de Torres, Santander|474 m. E.: Alcaldía Sabana de Torres|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:51:06|92
LHR561|||LHR561|7.066821|-73.858514|Kr18b 57 24|Barrancabermeja - Santander|877 m. NW.: Barrancabermeja, Santander|30 m. W.: Tienda Totto|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:47:19|98
LHR659|||LHR659|7.052511|-73.860935|Kr16 36 105|Barrancabermeja - Santander|1.2 Km. SW.: Barrancabermeja, Santander|541 m. SW.: Clinica Veterinaria Unipaz|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:58:21|90
LHR697|||LHR697|7.017791|-73.800904|Km 5 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|442 m. E.: Los Laureles, Barrancabermeja, Santander|245 m. E.: Estación de Servicio Biomax|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:57:35|0
LHR751|||LHR751|6.947392|-73.769995|Km 11 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|8.9 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.6 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:47:06|61
LHR948|Darly Alexandra Ramírez Navarro||LHR948|7.033619|-73.554162|A 2699 m. de Hacienda La Vizcaina|San Vicente de Chucurí - Santander|11.1 Km. S.: La Fortuna, Barrancabermeja, Santander|2.7 Km. N.: Hacienda La Vizcaina|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 15:01:10|204
LHR949|||LHR949|7.020223|-73.805514|A 401 m. de Entrada H y P|Barrancabermeja - Santander|148 m. NW.: Los Laureles, Barrancabermeja, Santander|401 m. N.: Entrada H y P|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:51:40|145
LHR950|||LHR950|1.208093|-77.271857|Avenida Los Libertadores Cl22 15 90|Pasto - Nariño|1.3 Km. E.: Pasto, Nariño|63 m. N.: Envía|En: CENIT LINEAS-RICAURTE y ALISALES|TDR Apagado|0|2026-06-08 14:55:28|323
LHR952|||LHR952|7.133952|-73.556184|Km68 Bucaramanga - Barrancabermeja|Barrancabermeja - Santander|232 m. W.: La Fortuna, Barrancabermeja, Santander|284 m. W.: Restaurante El Dorado|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Apagado|0|2026-06-08 14:50:09|107
LHR953|Pablo Andrés Padilla||LHR953|6.982627|-73.800567|A 1794 m. de Hacienda La India|Barrancabermeja - Santander|4.1 Km. S.: Los Laureles, Barrancabermeja, Santander|1.8 Km. N.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Encendido|39|2026-06-08 14:58:37|357
LHR954|Jony Alexander Rojas Vega||LHR954|7.002247|-73.911614|Cl45 56 37|Yondó - Antioquia|142 m. SW.: Casabe, Yondó, Antioquia|95 m. S.: Acceso Zona Industrial Ecopetrol Casabe|En: ECOPETROL VRC-RIO CASABE|TDR Encendido|9|2026-06-08 14:58:40|0
LHR955|||LHR955|7.062828|-73.835178|Kr40 52 32|Barrancabermeja - Santander|2.1 Km. E.: Barrancabermeja, Santander|74 m. S.: Tienda de Viveres Jhan Carlos|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:49:35|273
LHR956|||LHR956|6.96013|-73.774685|Km 12 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|7.4 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.6 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|Log Out|0|2026-06-08 14:48:21|95
LHR957|||LHR957|6.937103|-73.776589||Barrancabermeja - Santander|9.6 Km. S.: Los Laureles, Barrancabermeja, Santander|4.7 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:52:29|0
LHS691|||LHS691|7.075784|-73.828554|Dg63a 47b 43|Barrancabermeja - Santander|3.2 Km. NE.: Barrancabermeja, Santander|109 m. E.: Empresa Gasan Barrancabermeja|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:53:32|328
LHT107|||LHT107|7.071506|-73.849655|Cl65 31a 103|Barrancabermeja - Santander|1.3 Km. N.: Barrancabermeja, Santander|40 m. NW.: Tienda Tecnilujos La Mona|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:49:44|248
LHT111|Alexander Romero Villabona||LHT111|7.165164|-73.849521||Barrancabermeja - Santander|99 m. W.: El Llanito, Barrancabermeja, Santander|3.6 Km. W.: Ferrocarriles Nacionales De Colombia|En: ECOPETROL VRC_GMA_MARES CENTRO|TDR Encendido|11|2026-06-08 03:45:26|130
LHT113|||LHT113|6.971954|-73.778813|Km 12 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|6.0 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.1 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 15:01:18|84
LHT294|||LHT294|7.823768|-72.465885|A 488 m. de Monumento Al General Santander|Villa Del Rosario - Norte de Santander|2.3 Km. S.: Villa del Rosario, Villa Del Rosario, Norte de Santander|488 m. SW.: Monumento Al General Santander|En: ECOPETROL VRC-ORIPAYA CÚCUTA|TDR Apagado|0|2026-06-08 15:00:37|151
LHT759|||LHT759|4.637086|-74.104403|Kr56 19 54|Bogotá D.C. - Cundinamarca|1.3 Km. S.: Bogotá D.C., Cundinamarca|25 m. S.: Unigas|En: ENE 6234 OPEX SOT-SOC|TDR Apagado|0|2026-06-08 14:50:27|235
LHT805|||LHT805|6.930893|-73.771334|Km 9 Troncal Magdalena-Barrancabermeja|Barrancabermeja - Santander|10.5 Km. S.: Los Laureles, Barrancabermeja, Santander|5.6 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 15:00:02|158
LHT809|||LHT809|7.086668|-73.839958|A 358 m. de Escuela Educativa Barrio San Silvestre|Barrancabermeja - Santander|3.3 Km. NE.: Barrancabermeja, Santander|358 m. N.: Escuela Educativa Barrio San Silvestre|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:57:52|7
LHT819|||LHT819|6.994954|-73.783197|Km 9 Barrancabermeja-Troncal Magdalena|Barrancabermeja - Santander|3.6 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.3 Km. SE.: Estación de Servicio Biomax|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 15:01:16|274
LHT825|||LHT825|6.980076|-73.778727||Barrancabermeja - Santander|5.2 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.3 Km. NE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:51:10|32
LHT839|||LHT839|7.064007|-73.841307|Cl54 35b 45|Barrancabermeja - Santander|1.4 Km. E.: Barrancabermeja, Santander|151 m. W.: Farmacenter Primero De Mayo|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:58:21|85
LHT845|||LHT845|6.951547|-73.764059||Barrancabermeja - Santander|8.8 Km. SE.: Los Laureles, Barrancabermeja, Santander|5.0 Km. E.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:47:42|297
LHT849|||LHT849|3.782639|-71.453987|Capacitación Caño Arrabo|Puerto Gaitán - Meta|58.4 Km. NW.: Puerto Trujillo, Puerto Gaitán, Meta|362 m. W.: Centro de Acopio de Crudo|En: ECOPETROL TERMORUBIALES-RUBIALES|Log Out|0|2026-06-08 14:16:08|259
LHT855|||LHT855|7.058101|-73.86143|Kr16 47 62|Barrancabermeja - Santander|901 m. W.: Barrancabermeja, Santander|40 m. SW.: Catedral Inmaculada|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:48:22|87
LHT859|||LHT859|10.4116|-75.535113|Cl27 22 105|Cartagena - Bolívar|3.2 Km. NW.: Cartagena, Bolívar|11 m. NE.: El Paso Company|En: CONSORCIO TABARCA-CARTAGENA|TDR Apagado|0|2026-06-08 14:59:13|141
LHT865|Pruebas Técnico Fabian Calderon||LHT865|3.770881|-71.805496|Km109 Puerto Gaitan - Rubiales|Puerto Gaitán - Meta|67.7 Km. SE.: Puerto Gaitán, Meta|1.1 Km. W.: Mina Roncador|En: ECOPETROL TERMORUBIALES-RUBIALES|TDR Apagado|0|2026-06-08 14:18:11|108
LHT869|||LHT869|5.015739|-74.468756|Kr1 8 2|Villeta - Cundinamarca|482 m. N.: Villeta, Cundinamarca|32 m. SW.: Condensa Central de Energía|En: CENIT LINEAS-MARIQUITA|TDR Apagado|0|2026-06-08 15:00:31|317
LHT875|||LHT875|9.621337|-73.586681|Kr6 9 29|El Paso - Cesar|901 m. E.: La Loma, El Paso, Cesar|494 m. E.: Hotel Real de Minas|En: DRUMMOND FACILIDADES|TDR Apagado|0|2026-06-08 14:55:42|98
LHT879|||LHT879|4.823976|-74.357625|Cl15 10 111|Facatativá - Cundinamarca|1.6 Km. N.: Facatativá, Cundinamarca|113 m. NW.: Colegio Departamental Manuela Ayala De Gaitán|En: CENIT ESTACIONES-PUERTO SALGAR|TDR Apagado|0|2026-06-08 14:47:52|255
LHT885|||LHT885|7.061447|-73.851268|Dg49 28 83|Barrancabermeja - Santander|281 m. E.: Barrancabermeja, Santander|13 m. S.: Concesionario Nissan|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:47:40|210
LHT889|||LHT889|7.086495|-73.839352|A 332 m. de Escuela Educativa Barrio San Silvestre|Barrancabermeja - Santander|3.3 Km. NE.: Barrancabermeja, Santander|332 m. N.: Escuela Educativa Barrio San Silvestre|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:54:26|0
LHT897|||LHT897|6.859509|-73.7652|PR 116 Km3 Campo 23 - La Rocheta|Barrancabermeja - Santander|18.3 Km. S.: Los Laureles, Barrancabermeja, Santander|332 m. SE.: Estación de Servicio Terpel Km 2 Campo 23 La Rocheta|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:47:33|259
LHT899|||LHT899|7.059017|-73.85703|Cl49 20 56|Barrancabermeja - Santander|411 m. SW.: Barrancabermeja, Santander|82 m. SE.: Eps Comparta|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:57:09|95
LHT905|||LHT905|7.065083|-73.853341|Cl55a 24 136|Barrancabermeja - Santander|502 m. N.: Barrancabermeja, Santander|134 m. W.: Papelería Mundo Escolar|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:58:33|117
LHT907|||LHT907|7.06256|-73.841767|Kr35b 52a 40|Barrancabermeja - Santander|1.3 Km. E.: Barrancabermeja, Santander|27 m. N.: Comidas Rapidas El Kustaceo Kascarudo|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:59:00|106
LHT909|||LHT909|7.078525|-73.854676|Cl74 20 107|Barrancabermeja - Santander|2.0 Km. N.: Barrancabermeja, Santander|91 m. E.: Hospedaje Eris|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:54:07|255
LHT915|Alexander  Mayorga Esparza||LHT915|7.001339|-73.915728|A 476 m. de Hospital Héctor Abad Gómez|Yondó - Antioquia|584 m. W.: Casabe, Yondó, Antioquia|476 m. S.: Hospital Héctor Abad Gómez|En: ECOPETROL VRC-RIO CASABE|Acelerometro alineado|37|2026-06-08 13:01:00|290
LHT917|||LHT917|6.940034|-73.759881|Rotonda|Barrancabermeja - Santander|10.1 Km. SE.: Los Laureles, Barrancabermeja, Santander|6.0 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:57:21|254
LHT919|Elkin Alfonso Mantilla Silva||LHT919|6.985811|-73.770195||Barrancabermeja - Santander|5.3 Km. SE.: Los Laureles, Barrancabermeja, Santander|3.7 Km. S.: Hacienda Portugal|En: ECOPETROL VRC_GCI_LA CIRA|TDR Encendido|0|2026-06-08 15:01:08|313
LHT925|||LHT925|7.020189|-73.80525|A 394 m. de Entrada H y P|Barrancabermeja - Santander|128 m. NW.: Los Laureles, Barrancabermeja, Santander|394 m. N.: Entrada H y P|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:52:58|175
LHT927|||LHT927|6.929196|-73.774317||Barrancabermeja - Santander|10.6 Km. S.: Los Laureles, Barrancabermeja, Santander|5.5 Km. SE.: Hacienda La India|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:46:57|295
LHT929|||LHT929|7.091258|-73.861795|A 573 m. de Terminal Galán, PetroSantander (Colombia) Inc.|Barrancabermeja - Santander|3.5 Km. N.: Barrancabermeja, Santander|573 m. N.: Terminal Galán, PetroSantander (Colombia) Inc.|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Encendido|65|2026-06-08 14:09:40|93
LHT935|||LHT935|6.924401|-73.759256||Barrancabermeja - Santander|11.7 Km. SE.: Los Laureles, Barrancabermeja, Santander|4.6 Km. N.: Montallantas Opincito|En: ECOPETROL VRC_GCI_LA CIRA|TDR Apagado|0|2026-06-08 14:52:30|77
LHT937|||LHT937|7.059634|-73.843503|Kr35 50 13|Barrancabermeja - Santander|1.1 Km. E.: Barrancabermeja, Santander|343 m. S.: Comidas Rapidas Maria C|En: CONSORCIO TABARCA-BARRANCABERMEJA|TDR Apagado|0|2026-06-08 14:56:53|67
